date_time,gm_open,gm_close,gm,jnsn_open,jnsn_close,jnsn,jacobs_open,jacobs_close,jacobs,albemarle_open,albemarle_close,albemarle,disney_open,disney_close,disney,att_open,att_close,att,aal_open,aal_close,aal
2020-01-22,35.13,34.91,34.49,146.70,148.25,146.30,94.72,94.85,94.43,81.18,81.38,80.56,144.45,144.01,144.01,38.68,39.04,37.71,27.51,27.32,27.22
2020-01-23,34.77,34.88,34.46,148.04,148.53,146.57,94.44,96.06,95.63,80.33,81.90,81.08,143.60,142.20,142.20,38.96,38.63,37.31,27.39,28.80,28.69
2020-01-24,34.90,34.31,33.90,148.58,148.32,146.37,96.07,97.00,96.57,82.00,81.18,80.36,141.40,140.08,140.08,38.60,38.50,37.19,28.85,27.64,27.54
2020-01-25,34.90,34.31,33.90,148.58,148.32,146.37,96.07,97.00,96.57,82.00,81.18,80.36,141.40,140.08,140.08,38.60,38.50,37.19,28.85,27.64,27.54
2020-01-26,34.90,34.31,33.90,148.58,148.32,146.37,96.07,97.00,96.57,82.00,81.18,80.36,141.40,140.08,140.08,38.60,38.50,37.19,28.85,27.64,27.54
2020-01-27,33.63,33.41,33.01,147.52,148.75,146.79,95.51,95.28,94.86,78.63,78.94,78.15,135.86,135.90,135.90,38.02,38.25,36.95,26.57,26.11,26.01
2020-01-28,33.57,33.64,33.23,148.46,149.50,147.53,95.28,94.84,94.42,79.70,80.20,79.39,136.50,138.37,138.37,38.32,38.58,37.27,26.36,26.90,26.80
2020-01-29,33.80,33.60,33.20,149.45,150.54,148.56,95.22,94.78,94.36,80.83,80.73,79.92,138.60,136.06,136.06,38.50,37.05,35.79,26.88,26.80,26.70
2020-01-30,33.40,33.33,32.93,150.03,150.36,148.38,93.64,94.49,94.26,80.09,80.78,79.97,135.09,137.81,137.81,36.47,37.43,36.15,26.30,27.72,27.62
2020-01-31,33.25,33.39,32.99,149.75,148.87,146.91,93.92,92.53,92.30,79.80,80.28,79.47,138.40,138.31,138.31,37.32,37.62,36.34,27.50,26.84,26.74
2020-02-01,33.25,33.39,32.99,149.75,148.87,146.91,93.92,92.53,92.30,79.80,80.28,79.47,138.40,138.31,138.31,37.32,37.62,36.34,27.50,26.84,26.74
2020-02-02,33.25,33.39,32.99,149.75,148.87,146.91,93.92,92.53,92.30,79.80,80.28,79.47,138.40,138.31,138.31,37.32,37.62,36.34,27.50,26.84,26.74
2020-02-03,33.56,33.72,33.31,149.42,150.17,148.19,92.71,93.04,92.81,80.79,80.79,79.98,139.79,141.32,141.32,37.96,36.96,35.70,26.93,27.16,27.06
2020-02-04,34.35,34.37,33.96,151.49,151.60,149.60,94.32,95.46,95.23,82.50,90.43,89.52,145.49,144.73,144.73,37.08,37.63,36.35,27.68,28.43,28.43
2020-02-05,34.90,35.03,34.61,151.72,153.99,151.96,96.50,96.75,96.51,88.76,87.58,86.70,146.60,141.37,141.37,37.73,37.81,36.52,28.96,29.10,29.10
2020-02-06,35.05,34.33,33.92,154.25,153.53,151.51,96.76,96.02,95.78,87.57,86.95,86.08,141.92,142.70,142.70,37.86,38.44,37.13,29.26,28.30,28.30
2020-02-07,34.08,33.63,33.22,153.34,151.89,149.89,95.78,95.78,95.54,85.52,82.54,81.71,141.89,141.02,141.02,38.45,38.45,37.14,28.06,28.38,28.38
